table_name,year_value,year_unit,year_start_month,month,variable,commodity_element,market_segment,geographic_extent,value,unit
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",1996,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,4.32,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",1997,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,1201.8,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",1997,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,31.92,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",1997,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,1233.7,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",1997,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,115.771,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",1997,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,1117.9,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",1997,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,4.1,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",1998,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,1132.2,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",1998,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,58.149,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",1998,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,1190.349,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",1998,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,109.273,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",1998,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,1081.076,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",1998,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,3.91758,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",1999,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,1305.2,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",1999,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,94.8012,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",1999,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,1400.0012,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",1999,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,124.27125,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",1999,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,1275.72995,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",1999,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,4.57015,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2000,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,1008.47242,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2000,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,76.23677,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2000,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,1084.70919,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2000,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,136.52776,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2000,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,948.18143,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2000,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,3.35777,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2001,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,958.94836,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2001,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,70.68321,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2001,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,1029.63157,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2001,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,128.11611,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2001,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,901.51546,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2001,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,3.15979,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2002,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,1152.68784,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2002,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,89.92921,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2002,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,1242.61705,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2002,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,156.89601,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2002,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,1085.72103,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2002,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,3.76849,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2003,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,1301.00923,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2003,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,90.34016,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2003,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,1391.34939,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2003,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,194.80573,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2003,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,1196.54366,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2003,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,4.11438,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2004,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,1336.82875,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2004,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,94.44273,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2004,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,1431.27148,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2004,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,182.55754,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2004,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,1248.71394,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2004,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,4.2551,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2005,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,1230.21884,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2005,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,122.71215,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2005,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,1352.93098,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2005,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,207.62643,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2005,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,1145.30456,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2005,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,3.86684,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2006,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,1250.43087,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2006,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,153.42317,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2006,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,1403.85404,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2006,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,229.08129,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2006,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,1174.77275,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2006,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,3.92906,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2007,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,1315.20454,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2007,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,157.66938,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2007,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,1472.87392,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2007,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,240.30254,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2007,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,1232.57138,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2007,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,4.08131,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2008,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,1376.7878,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2008,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,143.00656,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2008,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,1519.79436,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2008,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,269.18593,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2008,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,1250.60843,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2008,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,4.10308,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2009,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,1567.64569,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2009,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,187.15077,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2009,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,1754.79646,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2009,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,271.81194,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2009,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,1482.98452,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2009,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,4.82366,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2010,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,1631.94218,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2010,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,198.31715,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2010,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,1830.25933,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2010,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,279.7776,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2010,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,1550.48173,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2010,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,5.00573,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2011,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,1606.01458,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2011,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,243.51696,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2011,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,1849.53154,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2011,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,279.55818,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2011,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,1569.97336,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2011,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,5.03239,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2012,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,1714.84915,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2012,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,351.26559,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2012,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,2066.11474,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2012,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,301.63783,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2012,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,1764.47691,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2012,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,5.61636,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2013,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,1755.10383,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2013,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,330.57063,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2013,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,2085.67446,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2013,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,306.32324,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2013,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,1779.35122,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2013,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,5.62561,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2014,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,1731.37428,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2014,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,355.96902,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2014,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,2087.3433,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2014,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,273.67138,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2014,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,1813.67192,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2014,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,5.69304,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2015,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,1711.51698,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2015,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,314.36487,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2015,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,2025.88185,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2015,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,273.34579,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2015,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,1752.53606,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2015,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,5.46181,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2016,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,1771.45637,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2016,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,364.48714,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2016,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,2135.9435,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2016,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,276.96681,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2016,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,1858.97669,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2016,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,5.75248,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2017,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,1854.36433,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2017,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,367.23743,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2017,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,2221.60175,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2017,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,290.51607,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2017,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,1931.08569,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2017,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,5.93804,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2018,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,2020.42319,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2018,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,356.8971,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2018,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,2377.32028,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2018,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,310.35465,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2018,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,2066.96563,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2018,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,6.32247,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2019,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,1925.1,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2019,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,411.1,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2019,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,2336.2,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2019,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,259.7,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2019,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,2076.5,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2019,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,6.32,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2020,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,2175.6,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2020,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,435.4,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2020,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,2611,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2020,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,260.4,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2020,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,2350.6,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2020,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,7.08,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2021,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,2269.8,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2021,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,529.9,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2021,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,2799.7,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2021,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,263.4,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2021,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,2536.3,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2021,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,7.63,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2022,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,2307.8,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2022,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,564.4,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2022,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,2872.2,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2022,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,281.5,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2022,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,2590.7,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2022,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,7.75,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2023,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,2333,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2023,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,588.5,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2023,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,2921.6,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2023,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,292.7,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2023,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,2628.8,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2023,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,7.8,pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2024,Calendar year,January,NA,Utilized production,Strawberries,Fresh,United States,2610.36521,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2024,Calendar year,January,NA,Imports,Strawberries,Fresh,United States,585.39146,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2024,Calendar year,January,NA,Supply,Strawberries,Fresh,United States,3195.75667,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2024,Calendar year,January,NA,Exports,Strawberries,Fresh,United States,357.37175,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2024,Calendar year,January,NA,Domestic availability,Strawberries,Fresh,United States,2838.38492,million pounds
"Table G-14--Strawberries, fresh: Supply and availability, 1980 to date",2024,Calendar year,January,NA,Per capita availability,Strawberries,Fresh,United States,8.33946,pounds
"Table G-15--Grapefruit, fresh: Supply and availability, 1980/81 to date",1980/81,Marketing year,September,NA,Utilized production,Grapefruit,Fresh,United States,2225.445,million pounds
"Table G-15--Grapefruit, fresh: Supply and availability, 1980/81 to date",1980/81,Marketing year,September,NA,Imports,Grapefruit,Fresh,United States,9.4,million pounds
"Table G-15--Grapefruit, fresh: Supply and availability, 1980/81 to date",1980/81,Marketing year,September,NA,Supply,Grapefruit,Fresh,United States,2234.845,million pounds
"Table G-15--Grapefruit, fresh: Supply and availability, 1980/81 to date",1980/81,Marketing year,September,NA,Exports,Grapefruit,Fresh,United States,711.776,million pounds
"Table G-15--Grapefruit, fresh: Supply and availability, 1980/81 to date",1980/81,Marketing year,September,NA,Domestic availability,Grapefruit,Fresh,United States,1523.069,million pounds
"Table G-15--Grapefruit, fresh: Supply and availability, 1980/81 to date",1980/81,Marketing year,September,NA,Per capita availability,Grapefruit,Fresh,United States,6.65279,pounds
"Table G-15--Grapefruit, fresh: Supply and availability, 1980/81 to date",1981/82,Marketing year,September,NA,Utilized production,Grapefruit,Fresh,United States,2311.38,million pounds
"Table G-15--Grapefruit, fresh: Supply and availability, 1980/81 to date",1981/82,Marketing year,September,NA,Imports,Grapefruit,Fresh,United States,3.9,million pounds
"Table G-15--Grapefruit, fresh: Supply and availability, 1980/81 to date",1981/82,Marketing year,September,NA,Supply,Grapefruit,Fresh,United States,2315.28,million pounds
"Table G-15--Grapefruit, fresh: Supply and availability, 1980/81 to date",1981/82,Marketing year,September,NA,Exports,Grapefruit,Fresh,United States,650.639,million pounds
"Table G-15--Grapefruit, fresh: Supply and availability, 1980/81 to date",1981/82,Marketing year,September,NA,Domestic availability,Grapefruit,Fresh,United States,1664.641,million pounds
"Table G-15--Grapefruit, fresh: Supply and availability, 1980/81 to date",1981/82,Marketing year,September,NA,Per capita availability,Grapefruit,Fresh,United States,7.20134,pounds
"Table G-15--Grapefruit, fresh: Supply and availability, 1980/81 to date",1982/83,Marketing year,September,NA,Utilized production,Grapefruit,Fresh,United States,2594.625,million pounds
"Table G-15--Grapefruit, fresh: Supply and availability, 1980/81 to date",1982/83,Marketing year,September,NA,Imports,Grapefruit,Fresh,United States,4.8,million pounds
"Table G-15--Grapefruit, fresh: Supply and availability, 1980/81 to date",1982/83,Marketing year,September,NA,Supply,Grapefruit,Fresh,United States,2599.425,million pounds
"Table G-15--Grapefruit, fresh: Supply and availability, 1980/81 to date",1982/83,Marketing year,September,NA,Exports,Grapefruit,Fresh,United States,771.03,million pounds
"Table G-15--Grapefruit, fresh: Supply and availability, 1980/81 to date",1982/83,Marketing year,September,NA,Domestic availability,Grapefruit,Fresh,United States,1828.395,million pounds
