table_name,year_value,year_unit,year_start_month,month,variable,commodity_element,market_segment,geographic_extent,value,unit
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1984/85,Marketing year,August,NA,Supply,Apples,Fresh,United States,4896.5,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1984/85,Marketing year,August,NA,Exports,Apples,Fresh,United States,528.33,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1984/85,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,4358.27,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1984/85,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,18.39477,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1985/86,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,4221.7,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1985/86,Marketing year,August,NA,Imports,Apples,Fresh,United States,314.6,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1985/86,Marketing year,August,NA,Supply,Apples,Fresh,United States,4536.3,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1985/86,Marketing year,August,NA,Exports,Apples,Fresh,United States,390.192,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1985/86,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,4136.208,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1985/86,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,17.30155,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1986/87,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,4463.6,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1986/87,Marketing year,August,NA,Imports,Apples,Fresh,United States,310.2,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1986/87,Marketing year,August,NA,Supply,Apples,Fresh,United States,4773.8,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1986/87,Marketing year,August,NA,Exports,Apples,Fresh,United States,445.702,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1986/87,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,4313.998,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1986/87,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,17.90068,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1987/88,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,5610.1,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1987/88,Marketing year,August,NA,Imports,Apples,Fresh,United States,262.8,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1987/88,Marketing year,August,NA,Supply,Apples,Fresh,United States,5872.9,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1987/88,Marketing year,August,NA,Exports,Apples,Fresh,United States,780.702,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1987/88,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,5081.898,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1987/88,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,20.87129,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1988/89,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,5230.3,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1988/89,Marketing year,August,NA,Imports,Apples,Fresh,United States,256.3,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1988/89,Marketing year,August,NA,Supply,Apples,Fresh,United States,5486.6,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1988/89,Marketing year,August,NA,Exports,Apples,Fresh,United States,602.543,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1988/89,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,4884.057,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1988/89,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,19.83583,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1989/90,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,5822.3,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1989/90,Marketing year,August,NA,Imports,Apples,Fresh,United States,227.958,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1989/90,Marketing year,August,NA,Supply,Apples,Fresh,United States,6050.258,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1989/90,Marketing year,August,NA,Exports,Apples,Fresh,United States,773.947,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1989/90,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,5276.311,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1989/90,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,21.21906,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1990/91,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,5515,million pounds
