Release,Unit,Unit_id,Discipline,Discipline_id,Number of Units,SRI,SRI Rank,SRI Percentile,Articles Weight,Awards Weight,Books Weight,Chapters Weight,Citations Weight,Conf Proc Weight,Grants Weight,Patents Weight,Trials Weight
AAD2023.09.02768,"Architectural Engineering, Department of",7974,Architecture - Books-Focused,455,104,-0.6,82,22.12,0.0%,24.0%,42.0%,34.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AAD2023.09.02768,"Architecture, Department of",7975,Architecture - Articles-Focused,15,104,-0.1,44,58.65,32.0%,0.0%,0.0%,0.0%,33.0%,18.0%,17.0%,0.0%,0.0%
AAD2023.09.02768,"Architecture, Department of",7975,Architecture - Books-Focused,455,104,0,39,63.46,0.0%,24.0%,42.0%,34.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AAD2023.09.02768,"Art, Art History and Design, School of",7976,Art History and Criticism,18,140,-0.5,94,33.57,7.0%,25.0%,43.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AAD2023.09.02768,"Art, Art History and Design, School of",7976,"Performing and Visual Arts, various",135,546,-0.1,210,61.72,10.0%,21.0%,36.0%,33.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AAD2023.09.02768,"Biochemistry, Department of",7977,Biochemistry,23,221,0.2,56,75.11,19.0%,16.0%,5.0%,8.0%,19.0%,7.0%,16.0%,10.0%,0.0%
AAD2023.09.02768,"Biological Sciences, School of",14130,"Biology/Biological Sciences, General",26,309,0.3,62,80.26,18.0%,19.0%,0.0%,7.0%,19.0%,6.0%,19.0%,12.0%,0.0%
AAD2023.09.02768,"Biological Systems Engineering, Department of",7979,Agricultural/Biological Engineering and Bioengineering,4,96,-0.4,54,44.79,18.0%,17.0%,7.0%,8.0%,18.0%,0.0%,17.0%,15.0%,0.0%
AAD2023.09.02768,"Broadcasting, Department of",7980,Mass Communications/Media Studies - Articles-Focused,111,203,-0.6,141,31.03,13.0%,12.0%,0.0%,0.0%,20.0%,28.0%,27.0%,0.0%,0.0%
AAD2023.09.02768,"Broadcasting, Department of",7980,Mass Communications/Media Studies - Books-Focused,460,203,-0.1,100,51.23,0.0%,17.0%,30.0%,53.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AAD2023.09.02768,"Chemical and Biomolecular Engineering, Department of",7983,Agricultural/Biological Engineering and Bioengineering,4,96,-0.7,82,15.63,18.0%,17.0%,7.0%,8.0%,18.0%,0.0%,17.0%,15.0%,0.0%
AAD2023.09.02768,"Chemical and Biomolecular Engineering, Department of",7983,Chemical Engineering,36,151,-0.6,107,29.8,19.0%,20.0%,0.0%,8.0%,18.0%,5.0%,18.0%,12.0%,0.0%
AAD2023.09.02768,"Chemistry, Department of",7984,Chemistry,38,329,0.1,87,73.86,18.0%,19.0%,5.0%,7.0%,17.0%,6.0%,17.0%,11.0%,0.0%
AAD2023.09.02768,"Child, Youth and Family Studies, Department of",7985,"Human Development and Family Studies, General",96,84,0.1,30,65.48,20.0%,16.0%,10.0%,16.0%,22.0%,0.0%,16.0%,0.0%,0.0%
AAD2023.09.02768,"Civil and Environmental Engineering, Department of",7986,Civil Engineering,39,184,0,63,66.3,21.0%,16.0%,0.0%,7.0%,21.0%,9.0%,18.0%,8.0%,0.0%
AAD2023.09.02768,"Civil and Environmental Engineering, Department of",7986,Environmental Engineering,69,143,-0.1,60,58.74,20.0%,17.0%,6.0%,6.0%,19.0%,5.0%,19.0%,8.0%,0.0%
AAD2023.09.02768,"Classics and Religious Studies, Department of",7987,Classics and Classical Languages,40,108,0.1,44,60.19,10.0%,31.0%,22.0%,23.0%,14.0%,0.0%,0.0%,0.0%,0.0%
AAD2023.09.02768,"Classics and Religious Studies, Department of",7987,Religion/Religious Studies,150,146,-0.2,91,38.36,21.0%,20.0%,18.0%,29.0%,12.0%,0.0%,0.0%,0.0%,0.0%
AAD2023.09.02768,"Communication Studies, Department of",7990,Communication and Communication Studies - Articles-Focused,43,230,1.1,9,96.52,17.0%,11.0%,0.0%,6.0%,22.0%,22.0%,22.0%,0.0%,0.0%
AAD2023.09.02768,"Communication Studies, Department of",7990,Communication and Communication Studies - Books-Focused,458,230,0.7,16,93.48,0.0%,24.0%,34.0%,42.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AAD2023.09.02768,"Community and Regional Planning, Department of",7991,Urban and Regional Planning,169,66,0.6,9,87.88,27.0%,6.0%,0.0%,0.0%,29.0%,17.0%,21.0%,0.0%,0.0%
AAD2023.09.02768,"Computing, School of",7993,Computer Engineering,49,202,0,65,68.32,17.0%,13.0%,5.0%,7.0%,19.0%,17.0%,14.0%,8.0%,0.0%
AAD2023.09.02768,"Computing, School of",7993,Computer Science,50,325,0.4,29,91.38,14.0%,15.0%,0.0%,7.0%,20.0%,18.0%,17.0%,9.0%,0.0%
AAD2023.09.02768,"Earth and Atmospheric Sciences, Department of",16043,Atmospheric Sciences and Meteorology,22,54,-0.7,48,12.96,27.0%,13.0%,0.0%,9.0%,26.0%,6.0%,19.0%,0.0%,0.0%
AAD2023.09.02768,"Earth and Atmospheric Sciences, Department of",16043,"Geology/Earth Science, General",86,197,-0.4,116,41.62,25.0%,16.0%,0.0%,6.0%,25.0%,7.0%,21.0%,0.0%,0.0%
AAD2023.09.02768,"Economics, Department of",7998,"Economics, General",58,259,-0.2,114,56.37,14.0%,28.0%,9.0%,15.0%,20.0%,0.0%,14.0%,0.0%,0.0%
AAD2023.09.02768,"Educational Administration, Department of",7999,Educational Leadership and Administration,61,160,0.4,34,79.38,22.0%,17.0%,0.0%,11.0%,27.0%,9.0%,14.0%,0.0%,0.0%
AAD2023.09.02768,"Educational Psychology, Department of",8000,Educational Psychology,62,59,0,26,57.63,17.0%,18.0%,11.0%,12.0%,18.0%,8.0%,16.0%,0.0%,0.0%
AAD2023.09.02768,"Electrical and Computer Engineering, Department of",8001,Computer Engineering,49,202,-0.3,112,45.05,17.0%,13.0%,5.0%,7.0%,19.0%,17.0%,14.0%,8.0%,0.0%
AAD2023.09.02768,"Electrical and Computer Engineering, Department of",8001,Electrical Engineering,63,228,-0.3,114,50.44,17.0%,13.0%,6.0%,7.0%,18.0%,16.0%,14.0%,9.0%,0.0%
AAD2023.09.02768,"English, Department of",8004,English Language and Literature,67,265,0.3,49,81.89,10.0%,23.0%,30.0%,31.0%,6.0%,0.0%,0.0%,0.0%,0.0%
AAD2023.09.02768,"Entomology, Department of",8005,Entomology,68,35,-0.7,34,5.71,21.0%,16.0%,8.0%,9.0%,23.0%,0.0%,18.0%,5.0%,0.0%
AAD2023.09.02768,"Finance, Department of",8006,Finance,76,199,-0.2,113,43.72,14.0%,45.0%,7.0%,13.0%,21.0%,0.0%,0.0%,0.0%,0.0%
AAD2023.09.02768,"Food Science and Technology, Department of",8007,Food Science,78,59,0.5,9,86.44,18.0%,14.0%,9.0%,11.0%,18.0%,10.0%,9.0%,11.0%,0.0%
AAD2023.09.02768,"Global Integrative Studies, School of",35340,Anthropology - Articles-Focused,11,218,-0.1,108,50.92,39.0%,0.0%,0.0%,0.0%,43.0%,0.0%,18.0%,0.0%,0.0%
AAD2023.09.02768,"Global Integrative Studies, School of",35340,Geography,84,120,-0.6,87,28.33,25.0%,7.0%,0.0%,0.0%,27.0%,15.0%,26.0%,0.0%,0.0%
AAD2023.09.02768,"Global Integrative Studies, School of",35340,Anthropology - Books-Focused,454,218,-0.4,152,30.73,0.0%,20.0%,51.0%,29.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AAD2023.09.02768,"History, Department of",8009,History,93,280,0.2,67,76.43,14.0%,26.0%,16.0%,18.0%,14.0%,0.0%,12.0%,0.0%,0.0%
AAD2023.09.02768,"Interior Design, Department of",8012,"Architecture, Design, Planning, various - Articles-Focused",16,132,-0.6,98,26.52,30.0%,0.0%,0.0%,0.0%,31.0%,19.0%,20.0%,0.0%,0.0%
AAD2023.09.02768,"Interior Design, Department of",8012,"Architecture, Design, Planning, various - Books-Focused",456,132,-0.2,59,56.06,0.0%,23.0%,37.0%,40.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AAD2023.09.02768,Landscape Architecture Program,34358,"Architecture, Design, Planning, various - Articles-Focused",16,132,-0.4,81,39.39,30.0%,0.0%,0.0%,0.0%,31.0%,19.0%,20.0%,0.0%,0.0%
AAD2023.09.02768,Landscape Architecture Program,34358,"Architecture, Design, Planning, various - Books-Focused",456,132,0.1,32,76.52,0.0%,23.0%,37.0%,40.0%,0.0%,0.0%,0.0%,0.0%,0.0%
