Institution,Institution_Id,Discipline,Discipline_Id,Unit,Unit_Id,SRI,Number of Faculty,Article Count,Articles per Faculty,Award Count,Awards per Faculty,Book Count,Books per Faculty,Chapter Count,Chapters per Faculty,Citation Count,Citations per Faculty,Citations per Publication,Conf Proc Count,Conf Proc per Faculty,Grant Count,Grants Per Faculty,Dollars Per Faculty,Dollars Per Grant,Grant Dollars,Patent Count,Patents per Faculty,Trial Count,Trials per Faculty,Release,AsOfDate
Michigan State University,132,Statistics,161,"Statistics and Probability, Department of",6372,71.7241379310345,60,74.4827586206896,84.1379310344828,65.5172413793104,65.5172413793104,71.7241379310345,71.7241379310345,40,27.5862068965517,73.1034482758621,73.7931034482759,61.3793103448276,44.1379310344828,42.7586206896552,77.2413793103448,81.3793103448276,74.4827586206896,52.4137931034483,73.1034482758621,68.2758620689655,68.2758620689655,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.721Z
Rutgers - New Brunswick,177,Statistics,161,"Statistics, Department of",6698,82.0689655172414,80.6896551724138,80,64.8275862068965,83.448275862069,76.551724137931,61.3793103448276,54.4827586206896,91.0344827586207,88.2758620689655,77.2413793103448,71.0344827586207,73.7931034482759,51.0344827586207,42.7586206896552,93.1034482758621,88.2758620689655,79.3103448275862,48.2758620689655,81.3793103448276,79.3103448275862,72.4137931034483,99.3103448275862,97.9310344827586,AAD2023.09.02768,2025-09-26T18:04:00.721Z
University of Georgia,274,Statistics,161,"Statistics, Department of",4815,71.7241379310345,56.551724137931,66.2068965517241,72.4137931034483,71.7241379310345,70.3448275862069,44.1379310344828,33.7931034482759,21.3793103448276,21.3793103448276,84.1379310344828,86.2068965517241,86.8965517241379,66.8965517241379,73.7931034482759,66.2068965517241,67.5862068965517,66.2068965517241,62.0689655172414,66.2068965517241,68.2758620689655,68.2758620689655,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.721Z
University of Virginia,345,Statistics,161,"Statistics, Department of",9675,57.2413793103448,8.96551724137931,17.2413793103448,48.2758620689655,33.7931034482759,51.0344827586207,33.7931034482759,41.3793103448276,67.5862068965517,95.1724137931034,24.1379310344828,48.9655172413793,44.1379310344828,11.7241379310345,11.7241379310345,23.448275862069,33.7931034482759,26.2068965517241,26.8965517241379,17.2413793103448,68.2758620689655,68.2758620689655,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.721Z
Idaho State University,91,Statistics,161,"Mathematics and Statistics, Department of",35959,6.20689655172414,20,7.58620689655173,7.58620689655173,15.8620689655172,17.9310344827586,33.7931034482759,29.6551724137931,21.3793103448276,21.3793103448276,3.44827586206896,4.13793103448276,2.06896551724138,40.6896551724138,54.4827586206896,23.448275862069,26.8965517241379,37.9310344827586,72.4137931034483,28.2758620689655,68.2758620689655,68.2758620689655,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.721Z
University of Illinois at Urbana-Champaign,280,Statistics,161,"Statistics, Department of",4888,77.2413793103448,63.448275862069,67.5862068965517,66.2068965517241,61.3793103448276,63.448275862069,18.6206896551724,18.6206896551724,67.5862068965517,53.7931034482759,72.4137931034483,66.2068965517241,66.8965517241379,84.1379310344828,85.5172413793103,75.1724137931034,76.551724137931,61.3793103448276,41.3793103448276,63.448275862069,68.2758620689655,68.2758620689655,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.721Z
University of Nebraska - Lincoln,308,Statistics,161,"Statistics, Department of",8034,77.2413793103448,16.551724137931,44.1379310344828,82.7586206896552,50.3448275862069,69.6551724137931,33.7931034482759,31.0344827586207,56.551724137931,72.4137931034483,59.3103448275862,77.9310344827586,75.8620689655172,25.5172413793103,29.6551724137931,23.448275862069,27.5862068965517,56.551724137931,97.9310344827586,46.2068965517241,68.2758620689655,68.2758620689655,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.721Z
Rice University,172,Statistics,161,"Statistics, Department of",806,95.8620689655172,32.4137931034483,68.9655172413793,91.7241379310345,84.1379310344828,94.4827586206896,81.3793103448276,93.7931034482759,67.5862068965517,79.3103448275862,74.4827586206896,84.8275862068966,76.551724137931,98.6206896551724,100,84.1379310344828,97.2413793103448,95.8620689655172,78.6206896551724,87.5862068965517,86.8965517241379,87.5862068965517,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.721Z
Loyola University Chicago,114,Statistics,161,"Mathematics and Statistics, Department of",8901,15.8620689655172,56.551724137931,24.8275862068966,14.4827586206896,50.3448275862069,50.3448275862069,18.6206896551724,18.6206896551724,56.551724137931,45.5172413793104,22.0689655172414,16.551724137931,19.3103448275862,21.3793103448276,14.4827586206896,34.4827586206897,28.9655172413793,15.1724137931034,12.4137931034483,18.6206896551724,68.2758620689655,68.2758620689655,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.721Z
Georgetown University,81,Statistics,161,"Mathematics and Statistics, Department of",30070,44.8275862068966,32.4137931034483,39.3103448275862,52.4137931034483,41.3793103448276,45.5172413793104,53.1034482758621,58.6206896551724,67.5862068965517,79.3103448275862,45.5172413793104,58.6206896551724,60,48.9655172413793,59.3103448275862,23.448275862069,20,17.2413793103448,27.5862068965517,17.9310344827586,86.8965517241379,87.5862068965517,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.721Z
Portland State University,165,Statistics,161,"Mathematics and Statistics, Department of",719,30.3448275862069,76.551724137931,48.9655172413793,25.5172413793103,40,27.5862068965517,44.1379310344828,28.9655172413793,87.5862068965517,82.0689655172414,39.3103448275862,28.9655172413793,42.0689655172414,75.1724137931034,65.5172413793104,66.2068965517241,56.551724137931,64.8275862068965,77.9310344827586,71.0344827586207,68.2758620689655,68.2758620689655,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.721Z
Oakland University,155,Statistics,161,"Mathematics and Statistics, Department of",470,17.9310344827586,76.551724137931,48.9655172413793,25.5172413793103,22.0689655172414,11.0344827586207,71.7241379310345,62.0689655172414,77.2413793103448,59.3103448275862,32.4137931034483,19.3103448275862,23.448275862069,59.3103448275862,53.1034482758621,27.5862068965517,15.8620689655172,16.551724137931,35.8620689655172,21.3793103448276,68.2758620689655,68.2758620689655,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.721Z
University of Pittsburgh,327,Statistics,161,"Statistics, Department of",5228,77.2413793103448,13.7931034482759,40.6896551724138,91.0344827586207,15.8620689655172,22.0689655172414,18.6206896551724,18.6206896551724,21.3793103448276,21.3793103448276,42.7586206896552,72.4137931034483,51.0344827586207,35.8620689655172,57.2413793103448,53.1034482758621,80,57.2413793103448,33.1034482758621,42.7586206896552,68.2758620689655,68.2758620689655,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.721Z
Temple University,212,Statistics,161,"Statistics, Operations, and Data Science, Department of",6898,57.2413793103448,51.0344827586207,50.3448275862069,47.5862068965517,88.9655172413793,93.1034482758621,75.8620689655172,80.6896551724138,77.2413793103448,80.6896551724138,69.6551724137931,70.3448275862069,84.1379310344828,11.7241379310345,11.7241379310345,53.1034482758621,53.1034482758621,71.7241379310345,88.9655172413793,68.2758620689655,86.8965517241379,82.0689655172414,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.721Z
Northeastern University,150,Statistics,161,"Mathematics, Department of",6467,51.7241379310345,91.7241379310345,73.7931034482759,42.0689655172414,75.1724137931034,62.0689655172414,90.3448275862069,77.9310344827586,82.0689655172414,54.4827586206896,65.5172413793104,46.2068965517241,47.5862068965517,95.8620689655172,90.3448275862069,90.3448275862069,76.551724137931,63.448275862069,44.8275862068966,77.9310344827586,90.3448275862069,84.8275862068966,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.721Z
Azusa Pacific University,16,Statistics,161,"Mathematics, Physics, and Statistics, Department of",36166,2.06896551724138,13.7931034482759,4.13793103448276,6.89655172413793,5.51724137931034,5.51724137931034,33.7931034482759,38.6206896551724,40,48.9655172413793,0.689655172413794,1.37931034482759,0.689655172413794,11.7241379310345,11.7241379310345,14.4827586206896,15.8620689655172,14.4827586206896,17.9310344827586,12.4137931034483,68.2758620689655,68.2758620689655,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.721Z
Montana State University,137,Statistics,161,"Mathematical Sciences, Department of",340,38.6206896551724,84.8275862068966,57.9310344827586,26.2068965517241,51.7241379310345,39.3103448275862,53.1034482758621,33.7931034482759,67.5862068965517,45.5172413793104,41.3793103448276,28.2758620689655,34.4827586206897,75.1724137931034,62.7586206896552,68.2758620689655,57.2413793103448,59.3103448275862,65.5172413793104,69.6551724137931,86.8965517241379,78.6206896551724,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.721Z
University of Wisconsin - Madison,347,Statistics,161,"Statistics, Department of",8425,82.0689655172414,80.6896551724138,88.9655172413793,83.448275862069,83.448275862069,76.551724137931,53.1034482758621,34.4827586206897,40,24.1379310344828,83.448275862069,75.8620689655172,68.2758620689655,40.6896551724138,28.9655172413793,84.1379310344828,78.6206896551724,77.9310344827586,60,80,88.9655172413793,82.7586206896552,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.721Z
Eastern Michigan University,65,Statistics,161,"Mathematics and Statistics, Department of",37445,4.13793103448276,48.2758620689655,8.96551724137931,4.82758620689655,10.3448275862069,6.20689655172414,71.7241379310345,77.9310344827586,21.3793103448276,21.3793103448276,4.13793103448276,2.06896551724138,1.37931034482759,30.3448275862069,27.5862068965517,38.6206896551724,36.551724137931,22.7586206896552,16.551724137931,23.448275862069,68.2758620689655,68.2758620689655,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.721Z
Pennsylvania State University - University Park,163,Statistics,161,"Statistics, Department of",685,82.0689655172414,84.8275862068966,90.3448275862069,81.3793103448276,80.6896551724138,73.1034482758621,71.7241379310345,58.6206896551724,94.4827586206896,91.0344827586207,81.3793103448276,73.1034482758621,62.7586206896552,61.3793103448276,51.7241379310345,77.2413793103448,71.7241379310345,77.2413793103448,76.551724137931,80.6896551724138,96.551724137931,97.9310344827586,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.721Z
Yale University,368,Statistics,161,"Statistics and Data Science, Department of",3743,93.7931034482759,42.7586206896552,51.0344827586207,55.8620689655172,92.4137931034483,97.9310344827586,44.1379310344828,40,67.5862068965517,71.0344827586207,91.0344827586207,94.4827586206896,97.9310344827586,85.5172413793103,91.0344827586207,70.3448275862069,77.9310344827586,84.8275862068966,79.3103448275862,75.8620689655172,86.8965517241379,85.5172413793103,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.721Z
East Tennessee State University,63,Statistics,161,"Mathematics and Statistics, Department of",35628,4.13793103448276,37.2413793103448,5.51724137931034,2.06896551724138,5.51724137931034,5.51724137931034,81.3793103448276,92.4137931034483,21.3793103448276,21.3793103448276,4.82758620689655,3.44827586206896,6.20689655172414,21.3793103448276,16.551724137931,23.448275862069,19.3103448275862,29.6551724137931,71.7241379310345,27.5862068965517,68.2758620689655,68.2758620689655,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.721Z
Virginia Polytechnic Institute and State University,354,Statistics,161,"Statistics, Department of",10118,88.2758620689655,66.8965517241379,78.6206896551724,82.0689655172414,76.551724137931,73.7931034482759,75.8620689655172,73.7931034482759,67.5862068965517,53.1034482758621,80.6896551724138,80,77.9310344827586,88.9655172413793,88.9655172413793,70.3448275862069,68.9655172413793,62.7586206896552,56.551724137931,67.5862068965517,86.8965517241379,80,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.721Z
Arkansas State University,13,Statistics,161,"Mathematics & Statistics, Department of",36141,2.06896551724138,15.1724137931034,3.44827586206896,4.13793103448276,5.51724137931034,5.51724137931034,44.1379310344828,58.6206896551724,21.3793103448276,21.3793103448276,2.75862068965518,2.75862068965518,2.75862068965518,11.7241379310345,11.7241379310345,10.3448275862069,10.3448275862069,10.3448275862069,10.3448275862069,10.3448275862069,68.2758620689655,68.2758620689655,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.722Z
New York University,146,Statistics,161,"Applied Statistics, Social Science, and Humanities, Department of",33750,38.6206896551724,71.0344827586207,49.6551724137931,29.6551724137931,59.3103448275862,53.1034482758621,98.6206896551724,99.3103448275862,97.9310344827586,99.3103448275862,51.0344827586207,42.0689655172414,53.1034482758621,71.0344827586207,66.8965517241379,34.4827586206897,24.8275862068966,36.551724137931,69.6551724137931,38.6206896551724,68.2758620689655,68.2758620689655,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.722Z
University of Missouri - St. Louis,307,Statistics,161,"Math, Physics, Astronomy and Statistics, Department of",35426,38.6206896551724,13.7931034482759,15.8620689655172,40,46.8965517241379,71.7241379310345,33.7931034482759,38.6206896551724,40,48.9655172413793,26.2068965517241,48.2758620689655,52.4137931034483,25.5172413793103,35.8620689655172,27.5862068965517,42.7586206896552,28.9655172413793,19.3103448275862,20,79.3103448275862,84.8275862068966,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.722Z
Emory University,66,Statistics,161,"Quantitative Theory and Methods, Department of",37326,51.7241379310345,48.2758620689655,33.1034482758621,31.0344827586207,66.8965517241379,71.7241379310345,90.3448275862069,96.551724137931,94.4827586206896,97.9310344827586,48.2758620689655,54.4827586206896,70.3448275862069,89.6551724137931,93.7931034482759,44.1379310344828,46.8965517241379,40,39.3103448275862,35.8620689655172,68.2758620689655,68.2758620689655,95.8620689655172,95.8620689655172,AAD2023.09.02768,2025-09-26T18:04:00.722Z
